vcp:jAskamada,21193:jAskamada:n:jAs
ccs:jAspanya,7687:jAspanya:n:jAs
acc:jIvatpitfkaBAgavyasTA,33132:jIvatpitfkaBAgavyasTA:n:kaB
acc:jYAnAnandakalADarasena,8270:jYAnAnandakalADarasena:n:lAD
bhs:jYAnodgata,6715:jYAnodgata:n:Ano
mw:jyotIraTA,80801:jyotIraTA:n:otI
sch:jyotIrasASman,14042:jyotIrasASman:n:otI
bhs:jvalanaSirISa,6746:jvalanaSirISa:n:rIS
acc:WAkuradAsavilAsa,40047:WAkuradAsavilAsa:n:WAk
ieg:WAkri,5963:WAkri:n:WAk
yat:qatkarikA,6099:qatkarikA:n:qat
yat:qatkuRa,6115:qatkuRa:n:qat
acc:qAmareSvaratantre,8449:qAmareSvaratantre:n:reS
sch:taqataqAyate,14194:taqataqAyate:n:qat
sch:taqattaqiti,14195:taqattaqiti:n:qat
acc:taqAgAdiviDi,8488:taqAgAdiviDi:n:gAd
acc:taqAgAdyudyApanaviDi,8489:taqAgAdyudyApanaviDi:n:gAd
sch:taRqulakusumavalivikAra,14202:taRqulakusumavalivikAra:n:liv
acc:tattvanyAyasuDAwIkA,8570:tattvanyAyasuDAwIkA:n:DAw
acc:tattvarakzAviDAna,43663:tattvarakzAviDAna:n:zAv
bhs:taTAgatakulagotrodgata,6811:taTAgatakulagotrodgata:n:TAg
bhs:taTAgataguhyasUtra,6815:taTAgataguhyasUtra:n:TAg
bhs:taTAgatajYAnamudrAsamADi,6816:taTAgatajYAnamudrAsamADi:n:TAg
bhs:taTAgatAcintyaguhyanirdeSa,6821:taTAgatAcintyaguhyanirdeSa:n:TAg,tAc
bhs:taTAgatotpattisaMBavanirdeSa,6822:taTAgatotpattisaMBavanirdeSa:n:TAg
bhs:taruRArkaBAnu,6874:taruRArkaBAnu:n:kaB
skd:taruSAyI,14521:taruSAyI:n:AyI
acc:tarkaKaRqanavyAKyA,8782:tarkaKaRqanavyAKyA:n:kaK
acc:tAjikaBAvavicAra,8878:tAjikaBAvavicAra:n:kaB
vcp:tAntuvAyi,22462:tAntuvAyi:n:tuv
acc:tArAzaqaNganyAsa,8976:tArAzaqaNganyAsa:n:zaq
sch:tAreSvara,14509:tAreSvara:n:reS
vcp:tAlISAdyamodaka,22673:tAlISAdyamodaka:n:ISA
acc:tIrTAnukramaRikA,43772:tIrTAnukramaRikA:n:rTA
bur:tugma,8001:tugma:n:tug
acc:tuNgAdrimAhAtmya,9125:tuNgAdrimAhAtmya:n:gAd
bhs:tuRqaturika,7000:tuRqaturika:n:qat
acc:turajAsahastranAman,9132:turajAsahastranAman:n:jAs
acc:tulajAsahasranAman,9139:tulajAsahasranAman:n:jAs
acc:tulajAsahasranAmastotra,43777:tulajAsahasranAmastotra:n:jAs
acc:tulasIkAzWamAhAtmya,9142:tulasIkAzWamAhAtmya:n:sIk
acc:tulasyazwottaraSatanAman,9160:tulasyazwottaraSatanAman:n:wot,zwo
mw:tfprin,86764:tfprin:n:fpr
sch:tfzwAvarutrI,14775:tfzwAvarutrI:n:wAv
acc:tEttirIyakaBAzyavanamAlA,43796:tEttirIyakaBAzyavanamAlA:n:kaB
pui:toraReSvarI,5577:toraReSvarI:n:ReS
acc:trikoRakADipatyaSoDana,40125:trikoRakADipatyaSoDana:n:kAD
acc:tripurasundarImAnasikopacArapUjAstotra,33445:tripurasundarImAnasikopacArapUjAstotra:n:jAs
acc:tripurasundaryazwottaraSatanAmAvalI,9313:tripurasundaryazwottaraSatanAmAvalI:n:wot,zwo
acc:tripurAzwottara,43831:tripurAzwottara:n:wot,zwo
acc:tripuropunizad,9343:tripuropunizad:n:opu
acc:trilakzaRIBAvaprakASa,9363:trilakzaRIBAvaprakASa:n:IBA,RIB
pw:trivarRAcAraprarUpaRa,47759:trivarRAcAraprarUpaRa:n:RAc
acc:trivikramapaRqitAcArya,9391:trivikramapaRqitAcArya:n:tAc
sch:trizwAvarutrI,14975:trizwAvarutrI:n:wAv
acc:tryakzarIBAzya,9461:tryakzarIBAzya:n:IBA
acc:tvazwrISAnti,9483:tvazwrISAnti:n:ISA,rIS
ieg:TAkamAna,5960:TAkamAna:n:TAk
acc:dakziRakAlikAnityapUjAviDi,9497:dakziRakAlikAnityapUjAviDi:n:jAv
mw:dakziRAcAritantra,89430:dakziRAcAritantra:n:RAc
vcp:daRqAvatAnaka,24217:daRqAvatAnaka:n:qAv
acc:dattAtreyamahApUjAvarRanA,9606:dattAtreyamahApUjAvarRanA:n:jAv
acc:davIBAgavatapurARa,44078:davIBAgavatapurARa:n:vIB,IBA
acc:daSArizwaSAnti,9781:daSArizwaSAnti:n:waS
acc:dAmodaraBawwaharze,9878:dAmodaraBawwaharze:n:rze
mw:duHKaparItAtman,93429:duHKaparItAtman:n:Kap
vcp:ducCan,25302:ducCan:n:duc
acc:durgaSlokArTa,10088:durgaSlokArTa:n:gaS
acc:durgAdakArAdisahasranAmastotra,10097:durgAdakArAdisahasranAmastotra:n:gAd
acc:durgAdattasanmiSra,10098:durgAdattasanmiSra:n:gAd
acc:durgAdAdinAmastotra,10100:durgAdAdinAmastotra:n:gAd
acc:durgAdAsavidyAvAcaspati,10102:durgAdAsavidyAvAcaspati:n:gAd
yat:duhitupati,18903:duhitupati:n:tup
mw:dUratoBU,94931.1:dUratoBU:n:oBU
pw:dUrAdAgata,51837:dUrAdAgata:n:dAg
mw:dftikuRqatapaScit,95230:dftikuRqatapaScit:n:qat
md:dfzwotsAha,9548:dfzwotsAha:n:wot,zwo
acc:devaDaraBAgavatAcArya,10241:devaDaraBAgavatAcArya:n:tAc
acc:devaboDaparamahaMsaparivrAjaka,10262:devaboDaparamahaMsaparivrAjaka:n:Dap
cae:devaSut,14510:devaSut:n:Sut
pui:devAmbuja,6318:devAmbuja:n:buj
ieg:deSAkzapawalADikfta,1481:deSAkzapawalADikfta:n:lAD
mw:dolADirUQa,96993:dolADirUQa:n:lAD
bur:dOlma,9044:dOlma:n:dOl
mw:drAkzAvalayaBUmi,97771:drAkzAvalayaBUmi:n:zAv
acc:dvAtriMSaddIkzAkrama,44116:dvAtriMSaddIkzAkrama:n:zAk
inm:dvArakADipati,3846:dvArakADipati:n:kAD
skd:dvipAyI,17470:dvipAyI:n:AyI
ieg:dvIBUmika,1794:dvIBUmika:n:vIB
sch:DareSa,16053:DareSa:n:reS
bhs:DarmaDAtuvidyotitaraSmi,7766:DarmaDAtuvidyotitaraSmi:n:tuv
bhs:DarmaDAtuviBaktipraveSa,7767:DarmaDAtuviBaktipraveSa:n:tuv
bhs:DarmaDAtuvizayamaticandra,7768:DarmaDAtuvizayamaticandra:n:tuv
bhs:DarmasamudravegaSirirAja,7840:DarmasamudravegaSirirAja:n:gaS
acc:DAtupratyayapaYcikA,33851:DAtupratyayapaYcikA:n:tup
bur:DAsus,9336:DAsus:n:DAs
mw:DIrendra,101306:DIrendra:n:Ire
ieg:DvajAvarohaRa,1655:DvajAvarohaRa:n:jAv
mw:naktaMcareSvara,102796.1:naktaMcareSvara:n:reS
vcp:nakzatreSvara,27759:nakzatreSvara:n:reS
bhs:nandottarA,8070:nandottarA:n:dot
acc:narasiMhapadmASramin,11091:narasiMhapadmASramin:n:dmA
sch:nAkAnokaha,16523:nAkAnokaha:n:Ano
pw:nAgAdevI,57520:nAgAdevI:n:gAd
ieg:nAwwavar,3716:nAwwavar:n:Aww
mw:nAnAvezAkftimat,105586:nAnAvezAkftimat:n:zAk
acc:nAradottara,44350:nAradottara:n:dot
acc:nArAyaRapaRqitAcArya,11556:nArAyaRapaRqitAcArya:n:tAc
acc:nAsiketupurARa,11751:nAsiketupurARa:n:tup
pw:nignABa,58339:nignABa:n:gnA
acc:nityAnandanAmAzwottaraSata,44399:nityAnandanAmAzwottaraSata:n:wot,zwo
vcp:nityAnityavastuviveka,28770:nityAnityavastuviveka:n:tuv
ieg:niyuktakADikArika,3864:niyuktakADikArika:n:kAD
sch:nirAmAyI,16857:nirAmAyI:n:AyI
bhs:nirupAyena,8355:nirupAyena:n:Aye
pw:nirDAway,59359:nirDAway:n:DAw
mw:nirviSezAkfti,107338:nirviSezAkfti:n:zAk
pe:nivAtakavacayudDaparva,4872:nivAtakavacayudDaparva:n:Dap
inm:nivAtakavacayudDaparvan,7757:nivAtakavacayudDaparvan:n:Dap
acc:niSvAsAKyamahAtantra,44443:niSvAsAKyamahAtantra:n:sAK
acc:nizekADyAyawIkA,40310:nizekADyAyawIkA:n:kAD
