bhs:saMnizeDati,15786:saMnizeDati:n:Mni
pw:saMnihatyA,119233:saMnihatyA:n:Mni
mw:saMnihitApAya,232016:saMnihitApAya:n:Mni
mci:saMnihitI,1759:saMnihitI:n:Mni
vcp:samAnASOca,45300:samAnASOca:n:ASO
mw:sampraduta,236447:sampraduta:n:dut
pui:samBUtI,15456:samBUtI:n:UtI
ieg:sarvanamaskfta,5321:sarvanamaskfta:n:skf
inm:sarvalokanamaskfta,9630:sarvalokanamaskfta:n:skf
mw:sahacEtyavat,240158:sahacEtyavat:n:acE
acc:sahasrakalaSasnapaMnAdi,27580:sahasrakalaSasnapaMnAdi:n:MnA
inm:sahasracaraRekzaRa,9256:sahasracaraRekzaRa:n:Rek
mci:sAgarAnUpaga,2576:sAgarAnUpaga:n:AnU
bhs:sABisaMskAra,16691:sABisaMskAra:n:sAB
mw:sABravatI,242184:sABravatI:n:sAB
mw:sinDutIrasamBava,244844:sinDutIrasamBava:n:Dut
yat:sunirvftendriya,41950:sunirvftendriya:n:fte
mw:supadmazawkArakavyAKyAna,247359.4:supadmazawkArakavyAKyAna:n:awk
mw:suparipUrRottamANgatA,247379:suparipUrRottamANgatA:n:rRo
bhs:suvarRAvaBAsa,17157:suvarRAvaBAsa:n:RAv
inm:suvarRotpatti,10605:suvarRotpatti:n:rRo
mw:sUnAcakraDvajavat,251362:sUnAcakraDvajavat:n:UnA
mw:sUnAtawi,251363:sUnAtawi:n:UnA
ieg:soddeSa,7112:soddeSa:n:odd
sch:soddyota,26979:soddyota:n:odd
acc:sopadeSaDAraRa,28772:sopadeSaDAraRa:n:SaD
mw:stamBitASru,254562:stamBitASru:n:tAS
mw:sTURAvaSeza,255968:sTURAvaSeza:n:RAv
bhs:snedana,17449:snedana:n:ned
pw:spazwAmbuj,131460:spazwAmbuj:n:buj
sch:syAdvAdeSvara,27254:syAdvAdeSvara:n:Adv
pw:svarRaKaRqAy,132601:svarRaKaRqAy:n:RaK
vcp:hiNguparRo,48046:hiNguparRo:n:rRo
bhs:hezWato,17789:hezWato:n:Wat
