pd:aDamottamamArga,43567:aDamottamamArga:n:
pd:aDamottamavarjitA,43565:aDamottamavarjitA:n:
pd:aDaraSIDu,43770:aDaraSIDu:n:
pd:aDaraSukti,43768:aDaraSukti:n:
pd:aDikaduHsaha,44818:aDikaduHsaha:n:
pd:aDikadurGawa,44816:aDikadurGawa:n:
pd:aDikaniHsAra,44877:aDikaniHsAra:n:
pd:aDikanigrahatva,44865:aDikanigrahatva:n:
pd:aDikamanojYarAgatA,45011:aDikamanojYarAgatA:n:
pd:aDikamanojYA,45010:aDikamanojYA:n:
pd:aDikAparikalpana,45705:aDikAparikalpana:n:
pd:aDikApahAra,45704:aDikApahAra:n:
pd:aDidEvika,47030:aDidEvika:n:
pd:aDidEvopadeSa,47029:aDidEvopadeSa:n:
pd:aDinaBaHsTalam,47068:aDinaBaHsTalam:n:
pd:aDinaBas,47067:aDinaBas:n:
pd:aDimAtralolupa,47336:aDimAtralolupa:n:
pd:aDimAtravratajYa,47335:aDimAtravratajYa:n:
pd:aDirAjyApti,47519:aDirAjyApti:n:
pd:aDirAjyABizeka,47518:aDirAjyABizeka:n:
pd:aDoDaHsTita,48990:aDoDaHsTita:n:
pd:aDoDarADarEs,48984:aDoDarADarEs:n:
pd:aDorDavapAta,49177:aDorDavapAta:n:
pd:aDorDvakampaka,49174:aDorDvakampaka:n:
pd:aDvAntaHsTA,52152:aDvAntaHsTA:n:
pd:aDvAntaga,52143:aDvAntaga:n:
pd:anaHsveda,61806:anaHsveda:n:
pd:anak,52221:anak:n:
pd:anaquhya,53261:anaquhya:n:
pd:anaqGaY,53214:anaqGaY:n:
pd:anatidUratas,53408:anatidUratas:n:
pd:anatidUram,53407:anatidUram:n:
pd:anadyatanaviDi,53763:anadyatanaviDi:n:
pd:anadyatanavivakzA,53762:anadyatanavivakzA:n:
pd:anantaHsTAnunAsika,55953:anantaHsTAnunAsika:n:
pd:anantaka,54609:anantaka:n:
pd:anaBaHsad,57745:anaBaHsad:n:
pd:anaBastantra,57744:anaBastantra:n:
pd:anaBijAtavaMSyA,57790:anaBijAtavaMSyA:n:
pd:anaBijAtavat,57789:anaBijAtavat:n:
pd:anarTaniHsAra,59102:anarTaniHsAra:n:
pd:anarTanicaya,59086:anarTanicaya:n:
pd:analpaniHSvAsaBara,59938:analpaniHSvAsaBara:n:
pd:analpanipatitamaDukara,59937:analpanipatitamaDukara:n:
pd:anavarataniHSvAsocCvAsa,60866:anavarataniHSvAsocCvAsa:n:
pd:anavarataniguYjatkowi,60859:anavarataniguYjatkowi:n:
pd:anavasaraduHsTatva,61096:anavasaraduHsTatva:n:
pd:anavasaradusTa,61093:anavasaradusTa:n:
pd:anavasTAduHsTatva,61183:anavasTAduHsTatva:n:
pd:anavasTAduravasTA,61177:anavasTAduravasTA:n:
pd:anavasTAdOHsTyaprasaNga,61187:anavasTAdOHsTyaprasaNga:n:
pd:anavasTAdOsTya,61186:anavasTAdOsTya:n:
pd:anAviHsraganulepa,65156:anAviHsraganulepa:n:
pd:anAvika,65088:anAvika:n:
pd:anASIHSaNkitA,65403:anASIHSaNkitA:n:
pd:anASIraka,65396:anASIraka:n:
pd:anAhAraniHsaha,65815:anAhAraniHsaha:n:
pd:anAhAranirviRRa,65814:anAhAranirviRRa:n:
pd:aniHsvana,69961:aniHsvana:n:
pd:anik,65919:anik:n:
pd:anijyASezatryaNga,66088:anijyASezatryaNga:n:
pd:anijyASezatva,66087:anijyASezatva:n:
pd:anukUlatvasaMsargaka,70722:anukUlatvasaMsargaka:n:
pd:anukUlatvasaMbanDa,70721:anukUlatvasaMbanDa:n:
pd:anukzamA,71250:anukzamA:n:
pd:anukzar,71237:anukzar:n:
pd:anuKaYja,71253:anuKaYja:n:
pd:anuKaqga,71252:anuKaqga:n:
pd:anutsukamahotsAha,73292:anutsukamahotsAha:n:
pd:anutsuKa,73289:anutsuKa:n:
pd:anudaGAtam,73641:anudaGAtam:n:
pd:anudaYc,73337:anudaYc:n:
pd:anudahAtagati,73640:anudahAtagati:n:
pd:anudA,73381:anudA:n:
pd:anupagravapatyaBinna,74417:anupagravapatyaBinna:n:
pd:anupagraha,74415:anupagraha:n:
pd:anupadrAyamARa,74675:anupadrAyamARa:n:
pd:anupadruta,74671:anupadruta:n:
pd:anupAdapUrvakam,75997:anupAdapUrvakam:n:
pd:anupAdA,75995:anupAdA:n:
pd:anuBU,77807:anuBU:n:
pd:anuBUj,77804:anuBUj:n:
pd:anumAnapramARya,78532:anumAnapramARya:n:
pd:anumAnaprameya,78511:anumAnaprameya:n:
pd:anumityupajivyatva,79477:anumityupajivyatva:n:
pd:anumityupajIvakatva,79476:anumityupajIvakatva:n:
pd:anumeyarupatva,79607:anumeyarupatva:n:
pd:anumeyarUpa,79606:anumeyarUpa:n:
pd:anuroDaviroDavigraha,80577:anuroDaviroDavigraha:n:
pd:anuroDaviroDavipramukta,80576:anuroDaviroDavipramukta:n:
pd:anuzwupCandaHsamaBivyAhAra,82814:anuzwupCandaHsamaBivyAhAra:n:
pd:anuzwupCandas,82811:anuzwupCandas:n:
pd:anusahasrAkzam,84061:anusahasrAkzam:n:
pd:anusahAya,84060:anusahAya:n:
pd:anUnita,84771:anUnita:n:
pd:anUnd,84624:anUnd:n:
pd:anUyAjArTapfzadAjya,84943:anUyAjArTapfzadAjya:n:
pd:anUyAjArTam,84942:anUyAjArTam:n:
pd:anFkArAntatva,85520:anFkArAntatva:n:
pd:anxkAra,104908:anxkAra:n:
pd:anekajanmAGa,85990:anekajanmAGa:n:
pd:anekajanmAcarita,85989:anekajanmAcarita:n:
pd:anekaduHsu,86204:anekaduHsu:n:
pd:anekadurita,86196:anekadurita:n:
pd:anekapattraraTacakrAkranda,86516:anekapattraraTacakrAkranda:n:
pd:anekapatnI,86514:anekapatnI:n:
pd:anekaSaktisamASrayatva,87790:anekaSaktisamASrayatva:n:
pd:anekaSaktisaMBava,87789:anekaSaktisaMBava:n:
pd:antaHkaraRaniHsaraRa,89606:antaHkaraRaniHsaraRa:n:
pd:antaHkaraRanigraha,89597:antaHkaraRanigraha:n:
pd:antaHkaraRapralayoktatA,89645:antaHkaraRapralayoktatA:n:
pd:antaHkaraRapravilayarUpatva,89644:antaHkaraRapravilayarUpatva:n:
pd:antaHkaraRAvidyAviSizwa,89881:antaHkaraRAvidyAviSizwa:n:
pd:antaHkaraRAvidyAvftti,89880:antaHkaraRAvidyAvftti:n:
pd:antaHpurapuraHsara,90190:antaHpurapuraHsara:n:
pd:antaHpurapuraMDri,90183:antaHpurapuraMDri:n:
pd:antaHpurastrIkaWinakuca,90296:antaHpurastrIkaWinakuca:n:
pd:antaHpurastrIkadambaka,90295:antaHpurastrIkadambaka:n:
pd:antaHSItalatva,93932:antaHSItalatva:n:
pd:antaHSItalA,93930:antaHSItalA:n:
pd:antaHsveditum,94405:antaHsveditum:n:
pd:antaka,90512:antaka:n:
pd:antakAstra,90676:antakAstra:n:
pd:antakAspada,90675:antakAspada:n:
pd:antarIrita,92174:antarIrita:n:
pd:antarIrzyAlu,92173:antarIrzyAlu:n:
pd:antarnayana,92778:antarnayana:n:
pd:antarnarmadAvizaya,92777:antarnarmadAvizaya:n:
pd:antarniHsneha,92833:antarniHsneha:n:
pd:antarniketa,92786:antarniketa:n:
pd:antarbahiHsTiti,92908:antarbahiHsTiti:n:
pd:antarbahirarcana,92868:antarbahirarcana:n:
pd:antarvapram,93508:antarvapram:n:
pd:antarvami,93486:antarvami:n:
pd:antarvarzA,93517:antarvarzA:n:
pd:antarvalita,93509:antarvalita:n:
pd:antarvAsaHsTAnIya,93547:antarvAsaHsTAnIya:n:
pd:antarvAsanA,93544:antarvAsanA:n:
pd:antaScatuHSAlam,93841:antaScatuHSAlam:n:
pd:antaScaturaSrakavftta,93839:antaScaturaSrakavftta:n:
pd:antastamaHsaMBeda,94022:antastamaHsaMBeda:n:
pd:antastamaSCedin,94018:antastamaSCedin:n:
pd:antezwi,94770:antezwi:n:
pd:antesvAhAkArA,94768:antesvAhAkArA:n:
pd:antyodAharaRadvaya,95490:antyodAharaRadvaya:n:
pd:antyodvfttanfGAta,95487:antyodvfttanfGAta:n:
pd:antravarGman,95548:antravarGman:n:
pd:antravarjitA,95547:antravarjitA:n:
