ap:anyUna,2426:anyUna:n:
ap:anyedyuH,2418:anyedyuH:n:
ap:anyokas,2427:anyokas:n:
ap:anyonya,2420:anyonya:n:
ap:anvak,2431:anvak:n:
ap:anvakza,2428:anvakza:n:
ap:anvayin,2486:anvayin:n:
ap:anvartitf,2435:anvartitf:n:
ap:anvAgata,2451:anvAgata:n:
ap:anvAgam,2450:anvAgam:n:
ap:anvArabDa,2468:anvArabDa:n:
ap:anvAraB,2467:anvAraB:n:
ap:anvAhika,2480:anvAhika:n:
ap:anvAhita,2461:anvAhita:n:
ap:anvfcam,2498:anvfcam:n:
ap:anvezaH,2491:anvezaH:n:
ap:apakamin,2529:apakamin:n:
ap:apakaraRam,2507:apakaraRam:n:
ap:apakaraRam,2507:apakaraRam:n:
ap:apakaruRa,2501:apakaruRa:n:
ap:apakarzaRa,2518:apakarzaRa:n:
ap:apakalaNkakaH,2502:apakalaNkakaH:n:
ap:apakiraRam,2521:apakiraRam:n:
ap:apakIrtiH,2504:apakIrtiH:n:
ap:apakoSaH,2530:apakoSaH:n:
ap:apakoza,2522:apakoza:n:
ap:apaktiH,2524:apaktiH:n:
ap:apakriyA,2514:apakriyA:n:
ap:apakzayaH,2533:apakzayaH:n:
ap:apakzi,2532:apakzi:n:
ap:apakzip,2536:apakzip:n:
ap:apakzIRa,2534:apakzIRa:n:
ap:apaga,2540:apaga:n:
ap:apagaRqaH,2538:apagaRqaH:n:
ap:apagatiH,2543:apagatiH:n:
ap:apagam,2539:apagam:n:
ap:apagAram,2550:apagAram:n:
ap:apaguRaH,2548:apaguRaH:n:
ap:apaguh,2551:apaguh:n:
ap:apagopura,2546:apagopura:n:
ap:apacayaH,2566:apacayaH:n:
ap:apacar,2558:apacar:n:
ap:apacAyin,2564:apacAyin:n:
ap:apacAraH,2560:apacAraH:n:
ap:apacit,2569:apacit:n:
ap:apacita,2567:apacita:n:
ap:apacyavaH,2575:apacyavaH:n:
ap:apacyu,2574:apacyu:n:
ap:apajayaH,2580:apajayaH:n:
ap:apajargurARa,2578:apajargurARa:n:
ap:apajargurARa,2578:apajargurARa:n:
ap:apajAtaH,2577:apajAtaH:n:
ap:apatarpaRam,2599:apatarpaRam:n:
ap:apatAnakaH,2592:apatAnakaH:n:
ap:apattra,2601:apattra:n:
ap:apatnI,2595:apatnI:n:
ap:apadiSam,2622:apadiSam:n:
ap:apadizwa,2618:apadizwa:n:
ap:apadevatA,2623:apadevatA:n:
ap:apadeSaH,2619:apadeSaH:n:
ap:apaDyAnam,2632:apaDyAnam:n:
ap:apaDyE,2631:apaDyE:n:
ap:apanayanam,2643:apanayanam:n:
ap:apanasa,2638:apanasa:n:
ap:apanuttiH,2646:apanuttiH:n:
ap:apanud,2645:apanud:n:
ap:apamanyu,2675:apamanyu:n:
ap:apamardaH,2672:apamardaH:n:
ap:apamArjanam,2683:apamArjanam:n:
ap:apamitya,2679:apamitya:n:
ap:apayAnakam,2689:apayAnakam:n:
ap:apayAnam,2688:apayAnam:n:
ap:aparakta,2698:aparakta:n:
ap:aparaYj,2697:aparaYj:n:
ap:aparaYj,2697:aparaYj:n:
