skd:PalADyakzaM,23784:PalADyakzaM:n:
skd:balavardDinI,24033:balavardDinI:n:
skd:balavAn,24032:balavAn:n:
skd:bahuSaH,24194:bahuSaH:n:
skd:bahuSatruH,24193:bahuSatruH:n:
skd:bahmavardDanaM,24497:bahmavardDanaM:n:
skd:bahvapatyaH,24206:bahvapatyaH:n:
skd:brahmarAkzasaH,24488:brahmarAkzasaH:n:
skd:brahmarAtraH,24486:brahmarAtraH:n:
skd:brahmavAdinI,24500:brahmavAdinI:n:
skd:brahmavAdI,24499:brahmavAdI:n:
skd:brahmahaviH,24521:brahmahaviH:n:
skd:brahmahA,24520:brahmahA:n:
skd:brAhmaRI,24555:brAhmaRI:n:
skd:brAhmaRqaM,24527:brAhmaRqaM:n:
skd:brAhmyaM,24563:brAhmyaM:n:
