ap90:anusarpaH,2008:anusarpaH:n:
ap90:anusavanaM,1993:anusavanaM:n:
ap90:anusAraRA,2005:anusAraRA:n:
ap90:anusArataH,2003:anusArataH:n:
ap90:anusArataH,2003:anusArataH:n:
ap90:anusAryakaM,1996:anusAryakaM:n:
ap90:anusmaraRaM,2020:anusmaraRaM:n:
ap90:anusmf,2019:anusmf:n:
ap90:anuharaRaM,2030:anuharaRaM:n:
ap90:anuhavaH,2026:anuhavaH:n:
ap90:anuhArya,2031:anuhArya:n:
ap90:anuhuMkAraH,2028:anuhuMkAraH:n:
ap90:anuhuMkAraH,2028:anuhuMkAraH:n:
ap90:anuhuMkf,2027:anuhuMkf:n:
ap90:anUkASaH,2034:anUkASaH:n:
ap90:anUkta,1880:anUkta:n:
ap90:anUkti,2035:anUkti:n:
ap90:anUcAna,1881:anUcAna:n:
ap90:anekIkf,2069:anekIkf:n:
ap90:anejat,2068:anejat:n:
ap90:anenaH,2074:anenaH:n:
ap90:anenas,2073:anenas:n:
ap90:anEkAMtyaM,2080:anEkAMtyaM:n:
ap90:anEkyaM,2079:anEkyaM:n:
ap90:aMtarayaH,2111:aMtarayaH:n:
ap90:aMtarayati,2106:aMtarayati:n:
ap90:aMtarIpaH,2115:aMtarIpaH:n:
ap90:aMtarIyaM,2103:aMtarIyaM:n:
ap90:aMtargata,2118:aMtargata:n:
ap90:aMtargam,2117:aMtargam:n:
ap90:aMtarBAvanA,2128:aMtarBAvanA:n:
ap90:aMtarBU,2125:aMtarBU:n:
ap90:aMtarBUta,2129:aMtarBUta:n:
ap90:aMtarya,2105:aMtarya:n:
ap90:aMtarhita,2124:aMtarhita:n:
ap90:aMtavat,2096:aMtavat:n:
ap90:aMtika,2132:aMtika:n:
ap90:aMtikA,2131:aMtikA:n:
ap90:aMtI,2135:aMtI:n:
ap90:aMte,2097:aMte:n:
ap90:aMdikA,2143:aMdikA:n:
ap90:aMduH,2142:aMduH:n:
ap90:aMdolanaM,2145:aMdolanaM:n:
ap90:aMdolayati,2144:aMdolayati:n:
ap90:aMDaka,2150:aMDaka:n:
ap90:aMDaMkaraRa,2148:aMDaMkaraRa:n:
ap90:aMDaMkaraRa,2148:aMDaMkaraRa:n:
ap90:aMDacawakanyAyaH,17490:aMDacawakanyAyaH:n:
ap90:aMDas,2154:aMDas:n:
ap90:aMDikA,2151:aMDikA:n:
ap90:anyaMga,2180:anyaMga:n:
ap90:anyat,2163:anyat:n:
ap90:anyataH,2168:anyataH:n:
ap90:anyatama,2164:anyatama:n:
ap90:anyaTayati,2172:anyaTayati:n:
ap90:anyaTA,2171:anyaTA:n:
ap90:anyA,2181:anyA:n:
ap90:anyAdfkz,2176:anyAdfkz:n:
ap90:anyUna,2185:anyUna:n:
ap90:anyedyuH,2177:anyedyuH:n:
ap90:anyokas,2186:anyokas:n:
ap90:anyonya,2179:anyonya:n:
ap90:anvak,2191:anvak:n:
ap90:anvakza,2188:anvakza:n:
ap90:anvayin,2240:anvayin:n:
ap90:anvartitf,2194:anvartitf:n:
ap90:anvArabDa,2225:anvArabDa:n:
ap90:anvAraB,2224:anvAraB:n:
ap90:anvAhika,2235:anvAhika:n:
ap90:anvAhita,2218:anvAhita:n:
ap90:anvfcaM,2251:anvfcaM:n:
ap90:anvezaH,2245:anvezaH:n:
ap90:apakarzaRa,2269:apakarzaRa:n:
ap90:apakalaMkaH,2255:apakalaMkaH:n:
ap90:apakiraRaM,2272:apakiraRaM:n:
ap90:apakf,2257:apakf:n:
ap90:apakramin,2279:apakramin:n:
ap90:apakriyA,2265:apakriyA:n:
ap90:apakroSaH,2280:apakroSaH:n:
ap90:apakva,2275:apakva:n:
ap90:apakzayaH,2283:apakzayaH:n:
ap90:apakzi,2282:apakzi:n:
ap90:apakzip,2285:apakzip:n:
ap90:apakzIRa,2284:apakzIRa:n:
ap90:apaga,2289:apaga:n:
ap90:apagaMqaH,2287:apagaMqaH:n:
ap90:apagatiH,2292:apagatiH:n:
ap90:apagam,2288:apagam:n:
ap90:apagAraM,2299:apagAraM:n:
ap90:apaguRaH,2297:apaguRaH:n:
ap90:apaguh,2300:apaguh:n:
ap90:apagopura,2295:apagopura:n:
ap90:apacayaH,2313:apacayaH:n:
ap90:apacar,2306:apacar:n:
ap90:apacAyita,2311:apacAyita:n:
ap90:apacAraH,2308:apacAraH:n:
ap90:apacyavaH,2322:apacyavaH:n:
ap90:apacyu,2321:apacyu:n:
ap90:apajayaH,2327:apajayaH:n:
ap90:apajargurARa,2325:apajargurARa:n:
ap90:apajargurARa,2325:apajargurARa:n:
ap90:apajAtaH,2324:apajAtaH:n:
ap90:apatarpaRaM,2345:apatarpaRaM:n:
ap90:apatAnakaH,2338:apatAnakaH:n:
ap90:apatfp,2344:apatfp:n:
ap90:apatnI,2341:apatnI:n:
ap90:apaTAsaH,2629:apaTAsaH:n:
ap90:apaTya,2353:apaTya:n:
ap90:apadevatA,2367:apadevatA:n:
ap90:apadeSaH,2363:apadeSaH:n:
ap90:apaDyAnaM,2375:apaDyAnaM:n:
ap90:apaDyE,2374:apaDyE:n:
ap90:apanayanaM,2385:apanayanaM:n:
ap90:apanasa,2381:apanasa:n:
ap90:apanuttiH,2388:apanuttiH:n:
ap90:apanud,2387:apanud:n:
ap90:apaman,2416:apaman:n:
ap90:apamardaH,2414:apamardaH:n:
ap90:apamArjanaM,2424:apamArjanaM:n:
ap90:apamitya,2420:apamitya:n:
ap90:aparakta,2438:aparakta:n:
ap90:aparaMj,2437:aparaMj:n:
ap90:aparaMj,2437:aparaMj:n:
ap90:aparatA,2431:aparatA:n:
ap90:aparatiH,2440:aparatiH:n:
ap90:aparatra,2432:aparatra:n:
ap90:aparavaH,2441:aparavaH:n:
ap90:aparavat,2434:aparavat:n:
ap90:aparAjizRu,2445:aparAjizRu:n:
ap90:aparAMc,2443:aparAMc:n:
ap90:aparAdDiH,2448:aparAdDiH:n:
