ccs:vAsaka,22038:vAsaka:n:
ccs:vAhinIpati,22092:vAhinIpati:n:
ccs:vAhivaha,21976:vAhivaha:n:
ccs:vikAma,22172:vikAma:n:
ccs:vikAra,22138:vikAra:n:
ccs:vidvala,22451:vidvala:n:
ccs:vidvas,22448:vidvas:n:
ccs:vidvezin,22463:vidvezin:n:
ccs:vidvezya,22456:vidvezya:n:
ccs:vinirRaya,22535:vinirRaya:n:
ccs:vinirmARa,22533:vinirmARa:n:
ccs:vibuDarAja,22648:vibuDarAja:n:
ccs:vibuDastrI,22647:vibuDastrI:n:
ccs:vimita,29974:vimita:n:
ccs:vimiSra,22733:vimiSra:n:
ccs:vistArayitar,29976:vistArayitar:n:
ccs:vistArin,23164:vistArin:n:
ccs:vfzaBazoqaSA,29977:vfzaBazoqaSA:n:
ccs:vfzaBAnujA,23382:vfzaBAnujA:n:
ccs:vetraDArA,23434:vetraDArA:n:
ccs:vetrayazwi,23433:vetrayazwi:n:
ccs:vEnDya,23594:vEnDya:n:
ccs:vEnya,23593:vEnya:n:
ccs:SatamaKa,24040:SatamaKa:n:
ccs:Satamanyu,24039:Satamanyu:n:
ccs:Sam,24145:Sam:n:
ccs:Sama,24144:Sama:n:
ccs:SaMBava,29980:SaMBava:n:
ccs:SaMBavizWa,24179:SaMBavizWa:n:
ccs:SAntay,24423:SAntay:n:
ccs:SAntarajas,24422:SAntarajas:n:
ccs:SiraHSUla,24611:SiraHSUla:n:
ccs:SiraSCeda,24610:SiraSCeda:n:
ccs:Sukfta,24912:Sukfta:n:
ccs:Sukta,24773:Sukta:n:
ccs:SyAna,25108:SyAna:n:
ccs:SyAparRa,25107:SyAparRa:n:
ccs:SvaHsutyA,25341:SvaHsutyA:n:
ccs:SvaGnin,25305:SvaGnin:n:
ccs:zaRavati,25446:zaRavati:n:
ccs:zaRqa,25442:zaRqa:n:
ccs:zaRqay,25445:zaRqay:n:
ccs:zaRqika,25443:zaRqika:n:
ccs:zWIvi,25501:zWIvi:n:
ccs:sa,25478:sa:n:
ccs:saMga,25772:saMga:n:
ccs:saNga,25771:saNga:n:
ccs:sadant,27772:sadant:n:
ccs:sadaMdi,25987:sadaMdi:n:
ccs:sadyaHsutyA,26031:sadyaHsutyA:n:
ccs:sadyas,26030:sadyas:n:
ccs:saDarman,27829:saDarman:n:
ccs:saDastuti,26053:saDastuti:n:
ccs:saparizatka,26217:saparizatka:n:
ccs:saparihAram,26216:saparihAram:n:
ccs:samillatA,26504:samillatA:n:
ccs:samiz,26502:samiz:n:
ccs:samI,26506:samI:n:
ccs:samIka,26505:samIka:n:
ccs:saMprekzaRa,26635:saMprekzaRa:n:
ccs:saMprepsu,26631:saMprepsu:n:
ccs:sarvatraga,26833:sarvatraga:n:
ccs:sarvatva,26826:sarvatva:n:
ccs:sitAmbara,27516:sitAmbara:n:
ccs:sitASu,27511:sitASu:n:
ccs:suduHsaha,27808:suduHsaha:n:
ccs:suduGa,27797:suduGa:n:
ccs:suDara,27844:suDara:n:
ccs:suDarma,27826:suDarma:n:
ccs:sUcin,28248:sUcin:n:
ccs:sUciBedya,28247:sUciBedya:n:
ccs:sUcimuKa,28250:sUcimuKa:n:
ccs:sUcIka,28249:sUcIka:n:
ccs:sOganDa,28453:sOganDa:n:
ccs:sOganDika,28452:sOganDika:n:
ccs:snAtva,28691:snAtva:n:
ccs:snAnagfha,28689:snAnagfha:n:
ccs:spfhA,28757:spfhA:n:
ccs:spfhAlu,28756:spfhAlu:n:
ccs:syanttar,28812:syanttar:n:
ccs:syanda,28810:syanda:n:
ccs:sravaTa,28838:sravaTa:n:
ccs:sravitave,28837:sravitave:n:
ccs:svaHstrI,29063:svaHstrI:n:
ccs:svaka,28867:svaka:n:
ccs:svaDana,28901:svaDana:n:
ccs:svaDarma,28900:svaDarma:n:
ccs:svaDita,28911:svaDita:n:
ccs:svaDiti,28910:svaDiti:n:
ccs:svAdutA,29080:svAdutA:n:
ccs:svAdman,29074:svAdman:n:
ccs:halikzRa,29268:halikzRa:n:
ccs:halin,29267:halin:n:
ccs:hiMsana,29396:hiMsana:n:
