mci:ekaparvataka,1069:ekaparvataka:n:
mci:ekapfzWa,2154:ekapfzWa:n:
mci:ekarAtra,1070:ekarAtra:n:
mci:Endra,861:Endra:n:
mci:EndrAstra,466:EndrAstra:n:
mci:ErAvata,49:ErAvata:n:
mci:Ela,2157:Ela:n:
mci:EzIka,467:EzIka:n:
mci:oGavatI,1072:oGavatI:n:
mci:oMkAra,675:oMkAra:n:
mci:oqra,2159:oqra:n:
mci:ozaDi,468:ozaDi:n:
mci:ozwra,2161:ozwra:n:
mci:ozwrakarRika,2162:ozwrakarRika:n:
mci:Ojasa,1073:Ojasa:n:
mci:Odumbara,2163:Odumbara:n:
mci:OddAlaka,1074:OddAlaka:n:
mci:OddAlakIya,676:OddAlakIya:n:
mci:OdBida,2164:OdBida:n:
mci:OSanasa,678:OSanasa:n:
mci:kakzaka,51:kakzaka:n:
mci:kakzaka,51:kakzaka:n:
mci:kakzasenasya,1875:kakzasenasya:n:
mci:kacCapa,52:kacCapa:n:
mci:kaYcya,2185:kaYcya:n:
mci:kaYcya,2185:kaYcya:n:
mci:kaRvASrama,1876:kaRvASrama:n:
mci:kadrU,53:kadrU:n:
mci:kanakaparvata,1076:kanakaparvata:n:
mci:kanyakubja,1879:kanyakubja:n:
mci:kanyA,1079:kanyA:n:
mci:kanyASrama,1880:kanyASrama:n:
mci:kanyAsaMvedya,1084:kanyAsaMvedya:n:
mci:kapila,54:kapila:n:
mci:kapilasya,1088:kapilasya:n:
mci:kapilAvawa,1882:kapilAvawa:n:
mci:kapilAhrada,1091:kapilAhrada:n:
mci:kapota,55:kapota:n:
mci:kapotaka,1093:kapotaka:n:
mci:kambala,56:kambala:n:
mci:karaRWa,2171:karaRWa:n:
mci:karaRWa,2171:karaRWa:n:
mci:karatoyA,1097:karatoyA:n:
mci:karavIra,57:karavIra:n:
mci:karahAwaka,1883:karahAwaka:n:
mci:karIzaka,2173:karIzaka:n:
mci:karIziRI,1099:karIziRI:n:
mci:karkowaka,59:karkowaka:n:
mci:karRa,2516:karRa:n:
mci:karRaparvan,679:karRaparvan:n:
mci:karRaprAvaraRa,2176:karRaprAvaraRa:n:
mci:karRasya,680:karRasya:n:
mci:karRika,2177:karRika:n:
mci:karRika,2177:karRika:n:
mci:kardamila,1100:kardamila:n:
mci:kalaSa,60:kalaSa:n:
mci:kalaSI,1101:kalaSI:n:
mci:kali,862:kali:n:
mci:kaliNga,2178:kaliNga:n:
mci:kalmAza,61:kalmAza:n:
mci:kalmAzI,1102:kalmAzI:n:
mci:kaSyapa,2202:kaSyapa:n:
mci:kaSyapadvIpa,2182:kaSyapadvIpa:n:
mci:kaSyapadvIpa,2182:kaSyapadvIpa:n:
mci:kaSyapASrama,1889:kaSyapASrama:n:
mci:kAkI,62:kAkI:n:
mci:kAkudIka,469:kAkudIka:n:
mci:kAkudIka,469:kAkudIka:n:
mci:kAkza,2184:kAkza:n:
mci:kAkza,2184:kAkza:n:
mci:kAYcanaSEla,1103:kAYcanaSEla:n:
mci:kAdraveya,63:kAdraveya:n:
mci:kAnana,2186:kAnana:n:
mci:kAnana,2186:kAnana:n:
mci:kAntipura,1885:kAntipura:n:
mci:kApavyacarita,681:kApavyacarita:n:
mci:kApila,2188:kApila:n:
mci:kApila,2188:kApila:n:
mci:kAma,1106:kAma:n:
mci:kAmaSAstra,682:kAmaSAstra:n:
mci:kAmpilya,1886:kAmpilya:n:
mci:kAmboja,2189:kAmboja:n:
mci:kAmyaka,1107:kAmyaka:n:
mci:kAmyAzwamI,863:kAmyAzwamI:n:
