1-0503b:aGnyA:64283,64292:a4-ghnya1, a-ghnya14:aGnyA, aGnyA
1-0504a:aN:64381,64384:a-n3a:aNa
1-0504a:aNsaMjYaka:64393,64394:an3asam3jn5a-ka:aNasaYjYaka
1-0504b:aNka:64420,64439:an3k-:aNk
1-0510b:aNkapAlISayAlu:65214,65216:an2kapa1li1-s4aya1lu:aRkapAlISayAlu
1-0514a:aNkADiropaRa:65631,65633:an3ka1dhi1ropan2a:aNkADIropaRa
1-0514a:aNkADiropita:65634,65637:an3ka1dhi1ropita:aNkADIropita
1-0521a:aNkurAdyatpatti:66559,66563:an3kura1dy-utpatti:aNkurAdyutpatti
1-0522b:aNkuritapraBa:66728,66730:an3kuri1ta-prabha:aNkurItapraBa
1-0522b:aNkuritAnDakAra:66775,66777:an3kuri1ta1ndhaka1ra:aNkurItAnDakAra
1-0528b:aNkUra:67505,67520:an3ku1yra:aNkUyra
1-0535a:aNgakralaNka:68354,68356:an3ga-kalan3ka:aNgakalaNka
1-0537a:aNgaRArcana:68595,68596:an3gagan2a1rcana:aNgagaRArcana
1-0537b:aNgaguptyarTam:68691,68692:an3gagupty-artham3:aNgaguptyarTa
1-0541a:aNgajavftti:69081,69082:an3gaja-vr2tti1:aNgajavftI
1-0541b:aNgajYAna:69166,69167:an3ga-jn5ana:aNgajYana
1-0542b:aNgaRalABa:69304,69306:an3gan3a-la1bha:aNgaNalABa
1-0543a:aNgaRASraya:69342,69343:an3gan2as4raya:aNgaRaSraya
1-0543a:aNgaRotsaNgaraNga:69346,69348:an3gan2otsanga-ran3ga:aNgaRotsangaraNga
1-0544a:aNgatAsidDayarTam:69486,69488:an3gata1-siddhyartham:aNgatAsidDyarTam
1-0545a:aNgatvanirAkaraRa:69654,69657:an3gatva-ni1ra1karan2a:aNgatvanIrAkaraRa
1-0547b:aNgatvAvarRana:69934,69936:an3gatva1var2n2ana:aNgatvAvafRana
1-0547b:aNgada:69973,70025:an3ga-d2a:aNgaqa
1-0549b:aNgadaraRa:70196,70197:an3gada-daran2a:aNgadadaraRa
1-0551b:aNgadvara:70445,70448:an3ga-dva1ra:aNgadvAra
1-0552a:aNganadvAra:70519,70521:an3gana1-dva1ra:aNganAdvAra
1-0555a:aNganipIqita:70927,70930:an3ga-ni1pi1d2ita:aNganIpIqita
1-0556b:aNgaparaMparA:71104,71105:an3ga-paramapara1:aNgaparamaparA
1-0557a:aNgaparivftti:71140,71144:an3ga-pari1vr2tti:aNgaparIvfti
1-0558b:aNgapratyaNganirvftti:71348,71350:an3gapratyan3ga-ni1rvr2tti:aNgapratyaNganIrvfti
1-0558b:aNgapratyaNgalIlA:71375,71377:an3gapratyana3ga-li1la1:aNgapratyanagalIlA
1-0563a:aNgaBAvaprApti:71900,71902:an3ga1bha1va-pra1pti:aNgABAvaprApti
1-0563a:aNgaBAvavizayatA:71911,71913:an3gabha1vavisaya-ta1:aNgaBAvavisayatA
1-0563b:aNgaBUtadakziRA:72004,72006:an3gabhu1ta-daks2i1n2a1:aNgaBUtadakzIRA
1-0567b:aNgarakzAkft:72533,72534:an3garaks2a11-kr2t:aNgarakzakft
1-0569a:aNgarAgasaMpAdana:72705,72706:an3ga1ra1ga-sampa1dana:aNgArAgasampAdana
1-0570a:aNgarajAmAtya:72807,72808:an3gara1ja1ma1tya:aNgarAjAmAtya
1-0570a:aNgarIti:72823,72825:an3ga-ri1ti1:aNgarItI
1-0570b:aNgarkza:72913,72915:an3garks2a1:aNgarkzA
1-0572a:aNgavaktrAdiviniyoga:73111,73114:an3gavaktra1di-vini1yoga:aNgavaktrAdivinIyoga
1-0579b:aNgasaMNga:74037,74063:an3ga-san3ga:aNgasaNga
1-0580a:aNgasaMgraha:74113,74114:an3ga-san3gha:aNgasaNGa
