pui:अकारादिक्षकारान्तवर्णमूर्ति,11:अकारादिक्षकारान्तवर्णमूर्ति:n:र्ति
bur:सङ्गृभयामि,17320:सङ्गृभयामि:n:गृभ्
mw72:सङ्गृभित,48546:सङ्गृभित:n:गृभ्
ccs:सद्दृत्त,26045:सद्दृत्त:n:द्दृ
ccs:सद्दृत्ति,26046:सद्दृत्ति:n:द्दृ
bur:सन्निवर्ते,17544:सन्निवर्ते:n:र्ते
ccs:सप्तजिहू,26240:सप्तजिहू:n:इहू
mw:सप्तशतबीजमन्त्रविधान,232633.40:सप्तशतबीजमन्त्रविधान:n:अबी
bur:समनुवर्ते,17623:समनुवर्ते:n:र्ते
acc:समूर्तिशालिहोत्र,27301:समूर्तिशालिहोत्र:n:र्ति
mw:सम्भृतौषध,237053:सम्भृतौषध:n:ऋतौ
bhs:सर्वार्तुक,16545:सर्वार्तुक:n:र्तु
bhs:सर्वोतुक,16555:सर्वोतुक:n:र्वो
bhs:सर्वोदय,16556:सर्वोदय:n:र्वो
pwg:सर्वोद्दात्त,107205:सर्वोद्दात्त:n:र्वो
pui:सर्वोन्मादन,15635:सर्वोन्मादन:n:र्वो
pui:सर्वोन्मादनशक्तिका,15636:सर्वोन्मादनशक्तिका:n:र्वो
bhs:सहचित्तोत्पादधर्मचक्रप्रवर्तिन्,16571:सहचित्तोत्पादधर्मचक्रप्रवर्तिन्:n:र्ति
sch:सांनह्य,26401:सांनह्य:n:ंन
ccs:सुक्रीर्ति,27618:सुक्रीर्ति:n:र्ति
bhs:सुपरिकीर्तितनामधेयश्री,16989:सुपरिकीर्तितनामधेयश्री:n:र्ति
bur:सुस्यूषामि,18895:सुस्यूषामि:n:उस्य्
pui:सुहोत्रि,16632:सुहोत्रि:n:उहो
acc:सौदण्डोपाध्याय,47976:सौदण्डोपाध्याय:n:डोप्
mw72:स्पर्धित्वा,53320:स्पर्धित्वा:n:र्धि
mw72:स्पर्धिष्यमाण,53322:स्पर्धिष्यमाण:n:र्धि
pw:हन्तोस्,133499:हन्तोस्:n:तोस्
pui:हारमूर्तिकस्,17340:हारमूर्तिकस्:n:र्ति
mw:हिमवच्छिरस्,263036.25:हिमवच्छिरस्:n:छिर्
