bhs:अकम्पिय,14:अकम्पिय:n:पिय्
mw:निरन्ने,106566:निरन्ने:n:न्ने
mw:निरूहाधिकार,109481:निरूहाधिकार:n:ऊहा
acc:निर्जलाज्येष्ठशुक्ला,44427:निर्जलाज्येष्ठशुक्ला:n:ठश्
mw:नीलीसंधानभाण्ड,111734:नीलीसंधानभाण्ड:n:लीस्
sch:नृपाभास,17305:नृपाभास:n:पाभ्
mw:न्यायमकरन्दविवेचिनी,112880.3:न्यायमकरन्दविवेचिनी:n:एचि
mw:न्याषत्त,112965:न्याषत्त:n:याष्
mw:पञ्चाचलाङ्क,114054.1:पञ्चाचलाङ्क:n:चाच्
acc:पञ्चाशन्निघण्टुसार,44582:पञ्चाशन्निघण्टुसार:n:टुस्
acc:पन्तोनीभट्ट,12900:पन्तोनीभट्ट:n:नीभ्
acc:परामर्शटिप्पणि,44655:परामर्शटिप्पणि:n:शट्
mw72:परिजिघ्रमाण,27294:परिजिघ्रमाण:n:इघ्र्
bur:परिणिदधामि,10587:परिणिदधामि:n:णिद्
mw:परिलेखाधिकार,118426:परिलेखाधिकार:n:खाध्
bhs:परिवल्लिय,9141:परिवल्लिय:n:लिय्
bhs:परिवेल्लिय,9160:परिवेल्लिय:n:लिय्
bur:परिशोचामि,10726:परिशोचामि:n:ओचा
bur:परैमि,10801:परैमि:n:अरै
shs:परैवित,23883:परैवित:n:अरै
bur:परैष्टुका,10799:परैष्टुका:n:अरै
mw:पाठान्तर,121398:पाठान्तर:n:आठा
mw:पादाङ्गुष्ठश्रितावनि,122031:पादाङ्गुष्ठश्रितावनि:n:ठश्
sch:पालिध्वजीकृत,18427:पालिध्वजीकृत:n:लिध्
bhs:पितृपुत्रसमागम,9528:पितृपुत्रसमागम:n:ऋपु
mw:पियरोज,124407.1:पियरोज:n:पिय्
mw:पिशाचोरगराक्षस,124480:पिशाचोरगराक्षस:n:आचो
pui:पुत्रिकषेण,8003:पुत्रिकषेण:n:अषे
mw:पुत्रेज्या,125593:पुत्रेज्या:n:रेज्
shs:पुपषत्,25251:पुपषत्:n:पुप्
bur:पुपूर्षामि,11173:पुपूर्षामि:n:पुप्
bur:पुपोषिषामि,11175:पुपोषिषामि:n:पुप्
yat:पूत्त्रेप्सु,24510:पूत्त्रेप्सु:n:ऊत्त्
ccs:पूर्वपिय,14836:पूर्वपिय:n:पिय्
skd:पेचकी,22371:पेचकी:n:पेच्
mw:पेचिका,128911:पेचिका:n:एचि,पेच्
bhs:पेय्य,9781:पेय्य:n:एय्य्
sch:पौता,18975:पौता:n:औता
shs:पौरषेय,25998:पौरषेय:n:अषे
bhs:प्रणिदधाति,9919:प्रणिदधाति:n:णिद्
bur:प्रणिदधामि,11513:प्रणिदधामि:n:णिद्
bur:प्रणिद्रामि,11516:प्रणिद्रामि:n:णिद्
bur:प्रतिसीदामि,11718:प्रतिसीदामि:n:ईदा
bur:प्रतिस्कुनोमि,11722:प्रतिस्कुनोमि:n:स्कु
sch:प्रसन्नीभवन,19619:प्रसन्नीभवन:n:नीभ्
sch:प्रसन्नीभू,19620:प्रसन्नीभू:n:नीभ्
mw:प्राज्ञम्मानिन्,138832.1:प्राज्ञम्मानिन्:n:म्मा
