pui:लम्बायनस्,11909:लम्बायनस्:n:बाय्
bur:लालभ्ये,14449:लालभ्ये:n:भ्ये
bur:लालम्भीमि,14450:लालम्भीमि:n:ईमि
mw72:लालष्यमाण,40277:लालष्यमाण:n:अष्य्
ap90:लेखिती,24716:लेखिती:n:एखि
mw72:लेखित्वा,40436:लेखित्वा:n:एखि
mw:लौलक,184102:लौलक:n:लौल्
bhs:वज्रोत्तरज्ञानिन्,13212:वज्रोत्तरज्ञानिन्:n:ज्रो
sch:वज्रोदक,23106:वज्रोदक:n:ज्रो
pw:वज्रोद्रत,97584:वज्रोद्रत:n:ज्रो
bhs:वज्रोपम,13213:वज्रोपम:n:ज्रो
sch:वधूयते,23147:वधूयते:n:धूय्
sch:वनजेक्षणा,23158:वनजेक्षणा:n:जेक्
acc:वरदगुरुपञ्चाशत्स्तोत्र,41051:वरदगुरुपञ्चाशत्स्तोत्र:n:त्स्त्
mw:वरुणिय,186738:वरुणिय:n:णिय्
mci:वसोर्,1632:वसोर्:n:सोर्
skd:वाजभोजी,31812:वाजभोजी:n:ओजी
acc:वाञ्छानाथीय,46539:वाञ्छानाथीय:n:थीय्,आथी
acc:वातुलनाथीयसूत्रत्रयोदशीवृत्ति,46544:वातुलनाथीयसूत्रत्रयोदशीवृत्ति:n:थीय्,आथी
acc:वापीकूपतडागादिप्रतिष्ठाविधि,36840:वापीकूपतडागादिप्रतिष्ठाविधि:n:ठाव्
pui:वार्धुषि,12626:वार्धुषि:n:र्धु
acc:वासिष्ठीयहोम,36882:वासिष्ठीयहोम:n:ठीय्
mw:वास्तुयागविधितत्त्व,192641.1:वास्तुयागविधितत्त्व:n:तुय्
bur:विच्यवे,15293:विच्यवे:n:इच्य्
bhs:विट्टालेति,13769:विट्टालेति:n:लेत्
pw:वितर्दी,102424:वितर्दी:n:र्दी
yat:विद्याब्रतस्नातक,34737:विद्याब्रतस्नातक:n:आब्र्
inm:विद्युत्स्तनितगर्जित,12027:विद्युत्स्तनितगर्जित:n:त्स्त्
bhs:विपुलोज,13947:विपुलोज:n:लोज्
pw:वियोजीकरण,103950:वियोजीकरण:n:ओजी
mw:विरिञ्चिनाथीय,199305.1:विरिञ्चिनाथीय:n:थीय्,आथी
ap90:विलघित,26397:विलघित:n:घित्
mw:विलङ्घिताकाश,199581:विलङ्घिताकाश:n:घित्
bhs:वीतिकाशेति,14359:वीतिकाशेति:n:शेत्
pwg:वृक्षंमूलिक,94699:वृक्षंमूलिक:n:ंमू
pui:वैक्लवास्,13641:वैक्लवास्:n:ऐक्ल्
stc:व्यतिष्ठास्,19709:व्यतिष्ठास्:n:ठास्
pwg:व्यबस्थासारसंग्रह,96396:व्यबस्थासारसंग्रह:n:बस्
pwg:व्यश्नुविन्,96439:व्यश्नुविन्:n:श्नु
acc:व्याप्तिग्रहोयायपूर्वपक्षप्रकाश,24079:व्याप्तिग्रहोयायपूर्वपक्षप्रकाश:n:होय्
shs:शङ्कामियोग,39303:शङ्कामियोग:n:मिय्
bhs:शलाकीभूत,14874:शलाकीभूत:n:कीभ्
pwg:शवसौशीनरेषु,98343:शवसौशीनरेषु:n:सौश्
pui:शाठ्यायनि,14258:शाठ्यायनि:n:ठ्या
pw:शातकुम्भीय,111442:शातकुम्भीय:n:भीय्
mw:शाबस्ती,215535:शाबस्ती:n:बस्
bhs:शालिस्तम्बसूत्र,14967:शालिस्तम्बसूत्र:n:बस्
pwg:शिपिबिष्ट,99378:शिपिबिष्ट:n:बिष्
mw:शिबिन्त,217034.1:शिबिन्त:n:शिब्
acc:शिवसंकल्पोपनिषद्,25320:शिवसंकल्पोपनिषद्:n:ल्पो
