md:अकस्मादागन्तु,65:अकस्मादागन्तु:n:दाग्
acc:गोपालनन्दवाणीविलास,6335:गोपालनन्दवाणीविलास:n:णीव्
sch:गोपुच्छा,12535:गोपुच्छा:n:ओपु
acc:गोपुरविमानादिलक्षण,6404:गोपुरविमानादिलक्षण:n:ओपु
acc:गोपुरीमाहात्म्य,6405:गोपुरीमाहात्म्य:n:ओपु
skd:गोराण्टिका,11422:गोराण्टिका:n:गोर्
pui:गौतुप्रस्थ,4412:गौतुप्रस्थ:n:तुप्
acc:गौराङ्गशतनामन्,43219:गौराङ्गशतनामन्:n:गश्
acc:गौरीतन्त्रे,6678:गौरीतन्त्रे:n:औरी
acc:गौरीमायूरमाहात्म्य,6687:गौरीमायूरमाहात्म्य:n:औरी
acc:गौरीश्वरस्तोत्र,6691:गौरीश्वरस्तोत्र:n:रीश्,औरी
acc:गौर्यष्टोत्तरशतनामन्,6693:गौर्यष्टोत्तरशतनामन्:n:टोत्,ष्टो
sch:घटशतायते,28653:घटशतायते:n:टश्
mw:घ्रिताहुत,70054:घ्रिताहुत:n:ताह्
pui:चक्रेश्वरि,4535:चक्रेश्वरि:n:रेश्
bur:चक्ष्माये,6336:चक्ष्माये:n:आये
acc:चण्डिकाष्टोत्तरशतनामन्,6908:चण्डिकाष्टोत्तरशतनामन्:n:टोत्,ष्टो
acc:चण्डिकाष्टोत्तरशतनामावली,6909:चण्डिकाष्टोत्तरशतनामावली:n:टोत्,ष्टो
mw:चतुरध्यायी,71145:चतुरध्यायी:n:आयी
mw:चतुराध्यायी,71182:चतुराध्यायी:n:आयी
pwg:चतुर्थारण्यक,73471:चतुर्थारण्यक:n:र्था
bur:चतुर्महाराजास्,6391:चतुर्महाराजास्:n:जास्
acc:चतुवर्गसंग्रह,7013:चतुवर्गसंग्रह:n:तुव्
bur:चतुविर्ध,6398:चतुविर्ध:n:तुव्
acc:चतुवेदतात्पर्यसंग्रह,7027:चतुवेदतात्पर्यसंग्रह:n:तुव्
acc:चन्द्राष्टोत्तरशतनामन्,7136:चन्द्राष्टोत्तरशतनामन्:n:टोत्,ष्टो
skd:चन्द्रिकापायी,12187:चन्द्रिकापायी:n:आयी
vcp:चन्द्रेश्वर,19360:चन्द्रेश्वर:n:रेश्
sch:चातूरात्रिक,13203:चातूरात्रिक:n:आतू
vcp:चित्रेश्वर,19868:चित्रेश्वर:n:रेश्
acc:चिदानन्दकेलिविलास,7395:चिदानन्दकेलिविलास:n:लिव्
acc:चिदानन्दब्रह्मविलास,39939:चिदानन्दब्रह्मविलास:n:दब्
mw:चूडावलम्बिन्,74772:चूडावलम्बिन्:n:डाव्
pw:छत्त्रिन्यायेन,40877:छत्त्रिन्यायेन:n:आये
acc:छागादिपञ्चकदान,7604:छागादिपञ्चकदान:n:गाद्
acc:छालेयस्मृति,7603:छालेयस्मृति:n:छाल्
mw:छेद्यकाध्याय,76055:छेद्यकाध्याय:n:काध्
acc:जगद्रक्षाकरकवच,43464:जगद्रक्षाकरकवच:n:षाक्
