shs:अक्षब्धु,187:अक्षब्धु:n:ब्धु
ccs:पूर्वपूवोक्त,14835:पूर्वपूवोक्त:n:पूव्,ऊवो
pw:पूर्वभूमृत्,69156:पूर्वभूमृत्:n:ऊमृ
pw:पूर्वाभिभुख,69252:पूर्वाभिभुख:n:भुख्
pwg:पूवकोटि,46768:पूवकोटि:n:पूव्
pwg:पृपध्र,78937:पृपध्र:n:पृप्
acc:पेरियप्पा,34668:पेरियप्पा:n:प्पा
bhs:पोसथ,9812:पोसथ:n:पोस्
pw:पौजिष्ठ,69982:पौजिष्ठ:n:पौज्
ccs:पौश्चलीय,15031:पौश्चलीय:n:पौश्
ccs:पौश्चलेय,15032:पौश्चलेय:n:पौश्
bur:प्रडुष्यामि,11848:प्रडुष्यामि:n:डुष्
ccs:प्रत्यादोश,15526:प्रत्यादोश:n:दोश्
pui:प्रधानपुरुषौ,8582:प्रधानपुरुषौ:n:उषौ
bur:प्ररोचे,11985:प्ररोचे:n:ओचे
shs:प्रलोढ,27321:प्रलोढ:n:लोढ्
ccs:प्रालोय,16172:प्रालोय:n:लोय्
ap90:प्रावोशिक,21246:प्रावोशिक:n:वोश्
vcp:प्रिथ,34820:प्रिथ:n:रिथ्
pui:प्र्थिवी,8281:प्र्थिवी:n:प्र्थ्
pui:प्र्वाहन,8659:प्र्वाहन:n:प्र्व्
skd:फलाठ्या,23783:फलाठ्या:n:लाठ्
wil:बहुवीर्हि,27785:बहुवीर्हि:n:ईर्ह्
shs:बहृपत्र,28595:बहृपत्र:n:हृप्
acc:बह्वृचोपनिषद्,14890:बह्वृचोपनिषद्:n:ऋचो
ccs:बाथितव्य,16656:बाथितव्य:n:बाथ्
ccs:बिधि,29922:बिधि:n:बिध्
sch:बूट,20299:बूट:n:बूट्
pwg:बूवशर्मन्,52974:बूवशर्मन्:n:बूव्
pui:बौत्यस्,9216:बौत्यस्:n:बौत्
inm:ब्रह्मणोहस्,1767:ब्रह्मणोहस्:n:णोह्
pe:ब्राह्मणिप्पाट्टु,1269:ब्राह्मणिप्पाट्टु:n:प्पा
ccs:ब्राह्य्य,17041:ब्राह्य्य:n:ह्य्य्
ccs:ब्रेष्,17757:ब्रेष्:n:ब्रे
sch:ब्रोडन,20384:ब्रोडन:n:ब्रो
pui:ब्र्हद्रथ,9174:ब्र्हद्रथ:n:ब्र्ह्
pe:भद्रकालिप्पाट्टु,976:भद्रकालिप्पाट्टु:n:प्पा
acc:भीमसेनैकादशीकथा,35312:भीमसेनैकादशीकथा:n:एनै
pe:भुजकेटु,1187:भुजकेटु:n:केट्
pe:भृशुण्डि,1185:भृशुण्डि:n:ऋशु
pw:भेपुर,80894:भेपुर:n:भेप्
ccs:भैजंग,17684:भैजंग:n:भैज्
ccs:भैजिष्य,17685:भैजिष्य:n:भैज्
ccs:भैत,17686:भैत:n:भैत्
pgn:भोयिल,228:भोयिल:n:यिल्
shs:भौभरत्न,29876:भौभरत्न:n:भौभ्
skd:भ्नास,25522:भ्नास:n:भ्ना
